	Genes	Var_Importance	logFC	AveExpr	t	P.Value	adj.P.Val	B
464	PVRL3	29.5961027665232	-0.617714724085519	-0.051592046804573	-2.90866485151914	0.00441564377819109	0.0108432542778967	-2.92775959079461
559	TNFAIP8L2	29.5961027665232	-0.496713098620908	0.124459126433919	-2.83039159172082	0.00555491110954911	0.0132146127567008	-3.13641343065308
477	RHOH	29.5961027665232	-0.39202001281211	0.25877314704006	-2.70177550350635	0.00802275938320444	0.0183678964825996	-3.46859671940665
37	BATF	29.5961027665232	0.461441358246343	0.260845394736965	2.61345844132585	0.0102547736728852	0.0228760335779747	-3.6888981272076
232	GGT1	29.5961027665232	0.533551731041124	0.0980063906573459	2.38978032290179	0.0186092543192942	0.0372797232909544	-4.21782006371441
452	PRR7	29.5961027665232	0.77929473449282	-0.0611030647207502	3.48515561802636	0.000714468215821415	0.00204277532129221	-1.24600464554906
402	NOXA1	29.5961027665232	0.988227906931867	0.045838741775229	4.53748393538264	1.49637865416958e-05	6.89219666452505e-05	2.41588120565372
502	SH2D1A	29.0107747485967	-0.865480832198133	0.256792848280533	-7.20757052017621	8.46359670723171e-11	1.90901125729782e-09	14.1527929193574
151	CXCL13	28.7173039223869	-0.690446010946958	0.186242538430361	-4.21107899347166	5.31722768338799e-05	0.000203659852778823	1.20541438880015
73	CCNT1	28.5955710615717	-1.2144409628143	-0.000269824857430562	-6.25365890216514	8.4160120798017e-09	8.26669573645038e-08	9.65769682219501
395	NLRC4	28.0147050672648	-1.08742319991082	0.178635827745273	-6.05025809237576	2.16956459817144e-08	1.88752120040915e-07	8.73518312514501
39	BCL11B	27.8662726884073	-0.492965875544643	0.0177569692266266	-2.86944916099418	0.00495648113390618	0.0120258845041787	-3.03290605712567
411	OLR1	27.4940773020792	-1.06282247215562	0.26822409363548	-5.61215357181029	1.58861632830073e-07	1.11203142981051e-06	6.80020207579694
387	MUC16	27.4146906314278	-0.829842213114225	0.157925805377083	-4.25916304673684	4.42755085535338e-05	0.000175089511098066	1.37976211528224
110	CD8A	27.1929559936657	-0.801918045770566	0.151460314333854	-5.10538788376238	1.446522080641e-06	8.47049949144587e-06	4.662499374449
447	PRF1	27.1680466958538	-0.724579771798955	0.170536252346793	-4.64019699640517	9.92340851067461e-06	4.68477192480685e-05	2.80947184497673
567	TNFRSF8	26.7161004967778	-0.59825383758751	0.181031990214824	-3.49218764192907	0.000697808677214371	0.00200455417180921	-1.22397451581461
535	STAT4	26.5467083965712	-0.606645697140558	0.210292966587362	-4.32675619584318	3.41531163184852e-05	0.000136837156828668	1.62720697239796
392	NCF1	26.1553714849659	-0.715943728517285	0.171646226244181	-4.55537425123072	1.39361426250293e-05	6.52854681434066e-05	2.48401164087231
366	MAPT	26.0367793151035	0.890312430326955	-0.0663846846679379	3.88092988056549	0.000180328200395024	0.000593620940759834	0.0473245621364669
194	F12	25.8704791765951	0.559151246478582	0.0624246964136611	2.45998238924343	0.0154968651547477	0.0322102077789807	-4.05634945448247
524	SMPD3	25.3520666573348	0.514681754941455	0.129625542876669	2.46356768619658	0.0153511710439344	0.0320166546772467	-4.04799089614564
103	CD69	25.3217212473456	-0.498136089689519	0.285441299965521	-3.75489012007333	0.000282549947658092	0.000891569523957399	-0.376154362673883
291	IL2RA	24.903116737806	-0.941404093974732	0.203528153266546	-5.54986328999511	2.09613090903882e-07	1.45061786773255e-06	6.5313224161105
546	TEC	24.3120300317642	-0.527657363262454	0.110151282235502	-2.43276810583682	0.0166435852840476	0.0342430521553546	-4.11944088794361
508	SIRPB1	24.0132322221486	-1.03695387459678	0.0745354244712698	-5.71210653578633	1.01497330697615e-07	7.35855647557707e-07	7.23501981476095
270	HVCN1	23.8376826375934	-0.432395018387916	-0.0360128672938505	-2.5407665962212	0.0124968847359695	0.0270839957445034	-3.86538986541572
390	NAIP	23.3757904996971	-1.09512595628201	0.0906911364513744	-5.09399015895569	1.51826275255691e-06	8.80592396483006e-06	4.61578612561401
507	SIGLEC9	23.3757904996971	-1.00777009572484	0.223891623501423	-5.39862843105753	4.08247685290399e-07	2.67336387464358e-06	5.88543270853771
202	FCGR1A	23.3757904996971	-0.914703231172337	0.181230385653989	-4.72063194702034	7.16692105867197e-06	3.54849993880588e-05	3.1217550355856
213	FGL2	23.3757904996971	-0.909327716746034	0.253438993462335	-6.05617636980016	2.11100762908073e-08	1.88752120040915e-07	8.76181976759211
555	TLR7	23.3757904996971	-0.853208780519369	0.143920701849702	-4.6405238229225	9.91036170632589e-06	4.68477192480685e-05	2.81073357274378
28	APOBEC3G	23.3757904996971	-0.820800655290564	0.186889032944538	-5.53009477910649	2.28817409534045e-07	1.56572811692397e-06	6.44633358236099
20	ALPK2	23.3757904996971	-0.758941683473243	0.055673519606818	-3.54684585939318	0.000580253741536617	0.00168273585045619	-1.05154248941533
438	PMAIP1	23.3757904996971	-0.749127232832166	0.0779675328485815	-3.3360551987281	0.00116929993667171	0.00320767415059943	-1.70473328721141
333	LAG3	23.3757904996971	-0.712190215860687	0.163467562966611	-3.65015622510073	0.000407296170792085	0.00125274428289081	-0.71989375133191
258	HLA-DOB	23.3757904996971	-0.699163201012615	0.0424541687363612	-3.82895497971363	0.000217270178710344	0.0007075804215754	-0.128587681141647
558	TNF	23.3757904996971	-0.679368982062059	0.0852313103481303	-3.3811591442645	0.00100897113762473	0.00278037747879393	-1.56766446772483
306	IRAK2	23.3757904996971	-0.674955694822503	0.0976079779475976	-3.20145721861004	0.00180108671243206	0.00481079740294353	-2.10484962950699
280	IL15	23.3757904996971	-0.668288095719386	0.184230321787746	-3.52479686402408	0.00062522807918675	0.00180456824751057	-1.12135578254811
84	CD209	23.3757904996971	-0.603250162210035	0.0637510952247604	-2.84353356221616	0.00534654423405978	0.0128697448163731	-3.1017214282079
361	LY9	23.3757904996971	-0.601375959091904	0.230400846067837	-4.696593467375	7.90165728010307e-06	3.84968742686622e-05	3.02805864559203
6	ACRBP	23.3757904996971	-0.555205888006876	0.040088615490664	-2.65182522784492	0.00922401882573345	0.0208826299809356	-3.59398173708155
31	ARHGAP15	23.3757904996971	-0.524522360038157	0.18951302677408	-3.97777672441245	0.000126871551076226	0.000439004401167168	0.37983544705003
36	BANK1	23.3757904996971	-0.520875646867597	0.138477421974412	-2.98991620910184	0.00346354897276298	0.00886261060677586	-2.7060483194551
226	GAPT	23.3757904996971	-0.503900726156814	0.14999961801704	-3.17078511712523	0.00198399744037345	0.00520799328098031	-2.1941343771101
364	MAP3K12	23.3757904996971	0.597006211861652	-0.0370139617969238	2.73985968587228	0.00720431195820606	0.0166822280705228	-3.37162943011457
187	EPOR	23.3757904996971	0.702330286381614	-0.0589224067779815	3.38426780100346	0.000998718017474994	0.00278037747879393	-1.55816274400012
383	MSX1	23.3757904996971	0.847519732134559	-0.0798691132617706	4.23078087463428	4.93367335131179e-05	0.000191376246557254	1.27668134798982
91	CD300C	23.1406834092557	-0.825460582296094	0.207087735764473	-4.17198290674053	6.1648845936635e-05	0.000231753994909943	1.06469699554649
223	FZD5	22.6276655645412	-0.654041377073058	-0.0454355132976234	-3.18621854321924	0.00188990235206808	0.00500413274960635	-2.14929718423128
513	SLAMF6	22.5801449093553	-0.815654234713404	0.232774166004279	-6.61917348105555	1.4863777812431e-09	1.70793220523971e-08	11.3496287257782
273	ID1	20.9693067896507	0.698308866355637	-0.136929134901328	3.44445713743095	0.000818485118622758	0.00229703888129613	-1.372811776304
564	TNFRSF25	20.6212937970996	0.53630305648026	0.0800917949915995	2.5947850081552	0.0107931373127523	0.0239018931762406	-3.73465492074924
562	TNFRSF11B	20.5364147043267	-0.928841837252693	-0.0178875895606253	-4.23326566013454	4.88723142319039e-05	0.000190789995943779	1.28568627309907
124	CLEC10A	20.3110172583578	-0.403141353281849	0.235562477450446	-2.50406568043994	0.0137884152803521	0.0295674116399099	-3.95282376612772
299	IL6ST	20.2464929487096	-0.898287946053534	0.00373638028495629	-4.36370533917989	2.96035055380393e-05	0.000120473606228092	1.76362183765025
560	TNFRSF10A	20.1655477756981	-0.802952658057992	0.13970429881446	-4.11301174841262	7.69317573532596e-05	0.000283948122594758	0.854230014410054
570	TNFSF4	19.7343117283255	-0.941546712235969	0.0419722793329711	-4.51301255094473	1.64887900021076e-05	7.27407726742216e-05	2.32298147455781
373	MICB	19.7255875047531	-1.00665768371605	0.127348850534262	-5.43253469126936	3.51860597512881e-07	2.35475938335543e-06	6.029369688775
375	MMP12	19.7212624341978	-0.934316756568285	0.0823383541748198	-4.46446216666478	1.9971056516342e-05	8.56505170313542e-05	2.13968100416087
496	SELL	19.6519920992477	-0.579934337738563	0.172561640982571	-4.02415084117581	0.000107000857737123	0.000378857688150627	0.541202528284585
434	PLCL2	19.1811740020299	-0.829237681060082	0.0743976397413456	-5.08306340418879	1.59028920040209e-06	8.96746410226733e-06	4.5710625006975
79	CD180	19.1618704999883	-0.773822348244426	0.0338966963493066	-4.07249229660673	8.94721367154114e-05	0.000320520772115797	0.710875168913245
93	CD33	18.6003026430869	-0.782416480904711	0.169434090851427	-4.17494721408089	6.09631547889045e-05	0.0002305997594189	1.07533341627639
83	CD2	18.1929399142606	-0.665478466386053	0.269847991255261	-5.85522037490656	5.30925907206073e-08	4.19914126608439e-07	7.86458287714355
473	RASGRP1	17.1554782328709	-1.00693903189446	0.0455405471894807	-4.98148358163462	2.44042917533166e-06	1.32698336408659e-05	4.15810642605715
240	GPR55	17.1554782328709	-0.886152511121587	0.0991099032428505	-4.5112754458819	1.6602573730241e-05	7.27407726742216e-05	2.31639988457164
72	CCL4	17.1554782328709	-0.885998085742235	0.219054765116025	-4.89941648452191	3.43716040299136e-06	1.78908605591602e-05	3.82825504592382
315	ITGB7	17.1554782328709	-0.86637923593438	0.168990604382175	-5.74712077533553	8.66776054718626e-08	6.51687181881041e-07	7.38829973200714
217	FOXP3	17.1554782328709	-0.857554051427077	0.213034504823219	-5.08889112821811	1.55146956687254e-06	8.9090044375422e-06	4.59490835463831
23	APOBEC3A	17.1554782328709	-0.853350350331806	0.190055666004612	-4.0984927130701	8.12180733414382e-05	0.000296178483023568	0.80274424326277
150	CXCL11	17.1554782328709	-0.8503464204949	0.227927555085613	-4.52011127392368	1.60315927361312e-05	7.17885292375288e-05	2.34989512030184
127	CLEC4E	17.1554782328709	-0.843921787456972	0.176240302089705	-4.53205729095181	1.528972410886e-05	6.9488373002207e-05	2.39525099367245
92	CD300LF	17.1554782328709	-0.825411561401124	0.256249588179873	-4.7508072389298	6.33794607997582e-06	3.1899249278556e-05	3.23981187261826
500	SERINC5	17.1554782328709	-0.819624639071138	0.00159663789664706	-3.77322373685738	0.000264843575082927	0.000844448885997395	-0.3152160582851
